208	.0377120000 	1732		6159		.0380498000	1737	6155
464	.4427261000 	1733		27695		.4404471000	1738	27691
720	2.1797055000 	1732		65615		2.2747738000	1737	65611
976	5.6672993000 	1732		119919		5.6099771000	1737	119915
1232	18.4359794000 	1732		190607		18.5146802000	1737	190603
1488	31.2236694000 	1732		277679		31.4891768000	1736	277675
1744	58.3171582000 	1732		381135		58.1236417000	1736	381131
2000	96.2201118000 	1732		500975		97.9197083000	1736	500971
2256	150.1675444000 	1732		637199		146.0477814000	1736	637195
